abacus,,,,,,,, trust,,
abandon,,,, fear,, sadness,,, negative,
dermatologist,,,,,,,, trust,,
derogation, anger,, disgust, fear,, sadness,,, negative,
derogatory, anger,, disgust, fear,, sadness,,, negative,
descent,,,, fear,, sadness,,,,
descriptive,,,,,,,,,, positive
desecration, anger,, disgust, fear,, sadness,,, negative,
desert, anger,, disgust, fear,, sadness,,, negative,
deserted, anger,, disgust, fear,, sadness,,, negative,
desertion,,,,,,,,, negative,
deserve, anger, anticip,,,,,, trust,, positive
deserved,,,,,,,,,, positive
designation,,,,,,,, trust,,
designer,,,,,,,,,, positive
desirable,,,,,,,,,, positive
desiring,,,,,,,,,, positive
desirous,,,,,,,,,, positive
desist, anger,, disgust,,,,,, negative,
desolation,,,, fear,, sadness,,, negative,
despair, anger,, disgust, fear,, sadness,,, negative,
despairing,,,, fear,, sadness,,, negative,
desperate,,,,,,,,, negative,
despicable, anger,, disgust,,,,,, negative,
despise, anger,, disgust,,,,,, negative,
despotic,,,, fear,,,,, negative,
despotism, anger,, disgust, fear,, sadness,,, negative,
destination,, anticip,, fear, joy, sadness, surprise,,, positive
destined,, anticip,,,,,,,,
destitute,,,, fear,, sadness,,, negative,
destroyed, anger,,, fear,, sadness,,, negative,
destroyer, anger,,, fear,,,,, negative,
destroying, anger,,, fear,, sadness,,, negative,
destruction, anger,,,,,,,, negative,
destructive, anger,, disgust, fear,,,,, negative,
detachment,,,,,,,,, negative,
detain,,,,,,,,, negative,
detainee, anger, anticip,, fear,, sadness,,, negative,
detect,,,,,,,,,, positive
detection,,,,,,,,,, positive
detention,,,,,, sadness,,, negative,
deteriorate,,,, fear,, sadness,,, negative,
deteriorated,,, disgust,,, sadness,,, negative,
deterioration, anger,, disgust, fear,, sadness,,, negative,
determinate,, anticip,,,,,, trust,,
determination,,,,,,,, trust,, positive
determined,,,,,,,,,, positive
detest, anger,, disgust,,,,,, negative,
detonate,,,, fear,,, surprise,, negative,
detonation, anger,,,,,,,,,
detract, anger,,,,,,,, negative,
detriment,,,,,,,,, negative,
detrimental,,,,,,,,, negative,
detritus,,,,,,,,, negative,
devastate, anger,,, fear,, sadness,,, negative,
devastating, anger,, disgust, fear,, sadness,, trust, negative,
devastation, anger,,, fear,, sadness, surprise,, negative,
develop,, anticip,,,,,,,, positive
deviation,,,,,, sadness,,,,
devil, anger, anticip, disgust, fear,, sadness,,, negative,
devilish,,, disgust, fear,,,,, negative,
devious,,,,,,,,, negative,
devolution,,,,,,,,, negative,
devotional,,,,,,,, trust,, positive
devour,,,,,,,,, negative,
devout,, anticip,,, joy,,, trust,, positive
dexterity,,,,,,,,,, positive
diabolical, anger,, disgust, fear,,,,, negative,
diagnosis,, anticip,, fear,,,, trust, negative,
diamond,,,,, joy,,,,, positive
diaper,,, disgust,,,,,,,
diarrhoea,,, disgust,,,,,,,
diary,,,,, joy,,, trust,, positive
diatribe, anger,, disgust,,,,,, negative,
dictator,,,, fear,,,,, negative,
dictatorial, anger,,,,,,,, negative,
dictatorship, anger, anticip, disgust, fear,, sadness,,, negative,
dictionary,,,,,,,, trust,, positive
dictum,,,,,,,, trust,,
didactic,,,,,,,,,, positive
die,,,, fear,, sadness,,, negative,
dietary,, anticip,,,,,,,, positive
differential,,,,,,,, trust,,
differently,,,,,,, surprise,,,
difficult,,,, fear,,,,,,
difficulties,,,,,, sadness,,, negative,
difficulty, anger,,, fear,, sadness,,, negative,
digit,,,,,,,, trust,,
dignified,,,,,,,,,, positive
dignity,,,,,,,, trust,, positive
digress,, anticip,,,,,,, negative,
dike,,,, fear,,,,,,
dilapidated,,, disgust,,, sadness,,, negative,
diligence,,,,,,,, trust,, positive
dilute,,,,,,,,, negative,
diminish,,,,,, sadness,,, negative,
diminished,,,,,,,,, negative,
din,,,,,,,,, negative,
dinner,,,,,,,,,, positive
dinosaur,,,, fear,,,,,,
diplomacy,, anticip,,,,,, trust,, positive
diplomatic,,,,,,,, trust,, positive
dire,,, disgust, fear,, sadness, surprise,, negative,
director,,,,,,,, trust,, positive
dirt,,, disgust,,,,,, negative,
dirty,,, disgust,,,,,, negative,
disability,,,,,, sadness,,, negative,
disable,,,, fear,, sadness,,, negative,
disabled,,,, fear,, sadness,,, negative,
disaffected,,,,,,,,, negative,
disagree, anger,,,,,,,, negative,
disagreeing, anger,,,,, sadness,,, negative,
disagreement, anger,,,,, sadness,,, negative,
disallowed, anger,, disgust, fear,, sadness,,, negative,
disappear,,,, fear,,,,,,
disappoint, anger,, disgust,,, sadness,,, negative,
disappointed, anger,, disgust,,, sadness,,, negative,
disappointing,,,,,, sadness,,, negative,
disappointment,,, disgust,,, sadness,,, negative,
disapproval,,,,,, sadness,,, negative,
disapprove, anger,, disgust, fear,, sadness,,, negative,
disapproved, anger,,,,, sadness,,, negative,
disapproving, anger,, disgust,,, sadness,,, negative,
disaster, anger,, disgust, fear,, sadness, surprise,, negative,
disastrous, anger,,, fear,, sadness,,, negative,
disbelieve,,,,,,,,, negative,
discards,,,,,,,,, negative,
discharge,,,,,,,,, negative,
disciple,,,,,,,, trust,,
discipline,,,, fear,,,,, negative,
disclaim, anger,, disgust,,,,, trust, negative,
disclosed,,,,,,,, trust,,
discoloration,,, disgust,,,,,, negative,
discolored,,, disgust,,, sadness,,, negative,
discomfort,,,,,, sadness,,, negative,
disconnect,,,,,, sadness,,, negative,
disconnected,,,,,, sadness,,, negative,
disconnection,,,,,,,,, negative,
discontent, anger,, disgust, fear,, sadness,,, negative,
discontinue,,,,,,,,, negative,
discontinuity,,, disgust, fear,, sadness,,, negative,
discord, anger,, disgust,,,,,, negative,
discourage,,,, fear,, sadness,,, negative,
discouragement,,,,,,,,, negative,
discovery,,,,,,,,,, positive
discredit,,,,,,,,, negative,
discreet,, anticip,,,,,,,, positive
discretion,, anticip,,,,,, trust,, positive
discretionary,,,,,,,,,, positive
discriminate, anger,,,,, sadness,,, negative,
discriminating,,, disgust,,,,,, negative,
discrimination, anger,, disgust, fear,, sadness,,, negative,
discussion,,,,,,,,,, positive
disdain, anger,, disgust,,,,,, negative,
disease, anger,, disgust, fear,, sadness,,, negative,
diseased,,, disgust, fear,, sadness,,, negative,
disembodied,,,, fear,, sadness,,, negative,
disengagement,,,,,,,,, negative,
disfigured, anger,, disgust, fear,, sadness,,, negative,
disgrace, anger,, disgust,,, sadness,,, negative,
disgraced, anger,, disgust,,, sadness,,, negative,
disgraceful, anger,, disgust,,,,,, negative,
disgruntled, anger,, disgust,,, sadness,,, negative,
disgust, anger,, disgust, fear,, sadness,,, negative,
disgusting, anger,, disgust, fear,,,,, negative,
disheartened,,,,,, sadness,,, negative,
disheartening,,,,,, sadness,,, negative,
dishonest, anger,, disgust,,, sadness,,, negative,
dishonesty,,, disgust,,,,,, negative,
dishonor, anger,, disgust, fear,, sadness,,, negative,
disillusionment, anger,, disgust,,, sadness,,, negative,
disinfection,,,,,,,,,, positive
disinformation, anger,,, fear,,,,, negative,
disingenuous,,, disgust,,,,,, negative,
disintegrate,,, disgust, fear,,,,, negative,
disintegration,,,,,,,,, negative,
disinterested,,,,,,,,, negative,
dislike, anger,, disgust,,,,,, negative,
disliked, anger,,,,, sadness,,, negative,
dislocated, anger,, disgust, fear,, sadness,,, negative,
dismal,,, disgust, fear,, sadness,,, negative,
dismay, anger, anticip,, fear,, sadness, surprise,, negative,
dismemberment,,, disgust, fear,, sadness,,, negative,
dismissal, anger,, disgust, fear,, sadness, surprise,, negative,
disobedience, anger,, disgust,,,,,, negative,
disobedient, anger,,,,,,,, negative,
disobey, anger,, disgust,,,,,, negative,
disorder,,,, fear,,,,, negative,
disorderly,,,,,,,,, negative,
disorganized,,,,,,,,, negative,
disparage, anger,, disgust,,, sadness,,, negative,
disparaging, anger,, disgust,,, sadness,,, negative,
disparity, anger,, disgust,,, sadness,,, negative,
dispassionate,,,,,, sadness,,, negative,
dispel,,,,,, sadness,,, negative,
dispersion,,,,,,,,, negative,
displace,,,,,,,,, negative,
displaced, anger,,, fear,, sadness,,,,
displeased, anger,, disgust, fear,, sadness,,, negative,
displeasure,,, disgust,,,,,, negative,
disposal,,,,,,,,, negative,
dispose,,, disgust,,,,,,,
disposed,, anticip,,,,,, trust,, positive
dispossessed, anger,,, fear,, sadness,,, negative,
dispute, anger,,,,,,,, negative,
disqualification,,,,,,,,, negative,
disqualified, anger,, disgust,,, sadness,,, negative,
disqualify,,,,,, sadness,,, negative,
disregard,,,,,,,,, negative,
disregarded,,, disgust,,,,,, negative,
disreputable, anger,, disgust, fear,,,,, negative,
disrespect, anger,,,,,,,, negative,
disrespectful, anger,, disgust, fear,, sadness,,, negative,
disruption, anger,,, fear,,, surprise,, negative,
dissatisfaction,,,,,,,,, negative,
dissection,,, disgust,,,,,,,
disseminate,,,,,,,,,, positive
dissension, anger,,,,,,,, negative,
dissenting,,,,,,,,, negative,
disservice, anger,, disgust,,, sadness,,, negative,
dissident, anger,,, fear,,,,, negative,
dissolution, anger,,, fear,, sadness, surprise,, negative,
dissonance, anger,,,,,,,, negative,
distaste,,, disgust,,,,,, negative,
distasteful,,, disgust,,,,,, negative,
distillation,,,,,,,,,, positive
distinction,,,,,,,,,, positive
distorted,,, disgust,,,,,, negative,
distortion,,,,,,,,, negative,
distract,,,,,,,,, negative,
distracted, anger,,,,,,,, negative,
distracting, anger, anticip,,,,,,, negative,
distraction,,,,,,,,, negative,
distraught,,,,,, sadness,,, negative,
distress, anger,, disgust, fear,, sadness, surprise,, negative,
distressed,,,, fear,,,,, negative,
distressing, anger,,, fear,,,,, negative,
distrust, anger,, disgust, fear,,,,, negative,
disturbance, anger,,, fear,, sadness, surprise,, negative,
disturbed, anger,,,,, sadness,,, negative,
disuse,,,,,,,,, negative,
disused, anger,,,,,,,, negative,
ditty,,,,, joy,,,,, positive
divan,,,,,,,, trust,,
divergent,,,,,,, surprise,, negative,
diverse,,,,,,,,, negative, positive
diversified,,,,,,,,,, positive
diversion,,,,,,, surprise,,, positive
divested,,,,,,,,, negative,
divestment,,,,,,,,, negative,
divination,, anticip,,,,,,,,
divine,,,,,,,,,,
divinity,,,,,,,,,, positive
divorce, anger,, disgust, fear,, sadness, surprise, trust, negative,
dizziness,,,,,,,,, negative,
dizzy,,,,,,,,, negative,
docked,,,,,,,,, negative,
doctor,,,,,,,, trust,, positive
doctrine,,,,,,,, trust,,
doer,,,,,,,,,, positive
dogged,,,,,,,,,, positive
dogma,,,,,,,, trust,,
doit,,,,,,,,, negative,
doldrums,,,,,, sadness,,, negative,
dole,,,,,, sadness,,, negative,
doll,,,,, joy,,,,,
dolor,,,,,, sadness,,, negative,
dolphin,,,,, joy,, surprise, trust,, positive
dominant,,,, fear,,,,, negative,
dominate, anger,,, fear,,,,, negative, positive
domination, anger,,, fear,, sadness,,, negative,
dominion,,,, fear,,,, trust,,
don,,,,,,,, trust,, positive
donation,,,,,,,,,, positive
donkey,,, disgust,,,,,, negative,
doodle,,,,,,,,, negative,
doom,,,, fear,,,,, negative,
doomed,,,, fear,, sadness,,, negative,
doomsday, anger, anticip, disgust, fear,, sadness,,, negative,
doubt,,,, fear,, sadness,, trust, negative,
doubtful,,,,,,,,, negative,
doubting,,,,,,,,, negative,
doubtless,,,,,,,, trust,, positive
douche,,,,,,,,, negative,
dour,,,,,,,,, negative,
dove,, anticip,,, joy,,, trust,, positive
downfall,,,, fear,, sadness,,, negative,
downright,,,,,,,, trust,,
downy,,,,,,,,,, positive
drab,,,,,, sadness,,, negative,
draft,, anticip,,,,,,,,
dragon,,,, fear,,,,,,
drainage,,,,,,,,, negative,
drawback,,,,,,,,, negative,
dread,, anticip,, fear,,,,, negative,
dreadful, anger, anticip, disgust, fear,, sadness,,, negative,
dreadfully,,, disgust, fear,, sadness, surprise,, negative,
dreary,,,,,, sadness,,, negative,
drinking,,,,,,,,, negative,
drivel,,, disgust,,,,,, negative,
drone,,,,,,,,, negative,
drool,,, disgust,,,,,,,
drooping,,,,,,,,, negative,
drought,,,,,,,,, negative,
drown,,,, fear,, sadness,,, negative,
drowsiness,,,,,,,,, negative,
drudgery,,,,,,,,, negative,
drugged,,,,,, sadness,,,,
drunken,,, disgust,,,,,, negative,
drunkenness,,,,,,,,, negative,
dubious,,,, fear,,,, trust, negative,
duel, anger, anticip,, fear,,,,,,
duet,,,,,,,,,, positive
duke,,,,,,,,,, positive
dull,,,,,, sadness,,, negative,
dumb,,,,,,,,, negative,
dummy,,,,,,,,, negative,
dumps, anger,,,,, sadness,,, negative,
dun,,,,,,,,, negative,
dung,,, disgust,,,,,,,
dungeon,,,, fear,,,,, negative,
dupe, anger,,,,,,,, negative,
duplicity, anger,,,,,,,, negative,
durability,,,,,,,, trust,, positive
durable,,,,,,,, trust,, positive
duress, anger,, disgust, fear,, sadness,,, negative,
dust,,,,,,,,, negative,
dutiful,, anticip,,,,,, trust,, positive
dwarfed,,,, fear,, sadness,,, negative,
dying, anger,, disgust, fear,, sadness,,, negative,
dynamic,,,,,,, surprise,,,
dysentery,,, disgust,,, sadness,,, negative,
eager,, anticip,,, joy,, surprise, trust,, positive
eagerness,, anticip,,, joy,,, trust,, positive
eagle,,,,,,,, trust,,
earl,,,,,,,,,, positive
earn,,,,,,,,,, positive
earnest,,,,,,,,,, positive
earnestly,,,,,,,,,, positive
earnestness,,,,,,,,,, positive
earthquake, anger,,, fear,, sadness, surprise,, negative,
ease,,,,,,,,,, positive
easement,,,,,,,,,, positive
easygoing,,,,,,,,,, positive
eat,,,,,,,,,, positive
eavesdropping,,,,,,,,, negative,
economy,,,,,,,, trust,,
ecstasy,, anticip,,, joy,,,,, positive
ecstatic,, anticip,,, joy,, surprise,,, positive
edict,,,, fear,,,,, negative,
edification,, anticip,,, joy,,, trust,, positive
edition,, anticip,,,,,,,,
educate,,,,,,,,,, positive
educated,,,,,,,,,, positive
educational,,,,,,,, trust,, positive
eel,,,, fear,,,,,,
effective,,,,,,,, trust,, positive
effeminate,,,,,,,,, negative,
efficacy,,,,,,,,,, positive
efficiency,,,,,,,,,, positive
efficient,, anticip,,,,,, trust,, positive
effigy, anger,,,,,,,,,
effort,,,,,,,,,, positive
egotistical,,, disgust,,,,,, negative,
egregious, anger,, disgust,,,,,, negative,
ejaculation,, anticip,,, joy,, surprise, trust,, positive
eject,,,,,,,,, negative,
ejection,,,,,,,,, negative,
elaboration,,,,,,,,,, positive
elated,,,,, joy,,,,, positive
elbow, anger,,,,,,,,,
elder,,,,,,,, trust,, positive
elders,,,,,,,, trust,, positive
elect,,,,,,,, trust,, positive
electorate,,,,,,,, trust,,
electric,,,,, joy,, surprise,,, positive
electricity,,,,,,,,,, positive
elegance,, anticip,,, joy,,, trust,, positive
elegant,,,,, joy,,,,, positive
elevation,, anticip,, fear, joy,,, trust,, positive
elf, anger,, disgust, fear,,,,,,
eligible,,,,,,,,,, positive
elimination, anger,, disgust, fear,, sadness,,, negative,
elite,, anticip,,, joy,,, trust,, positive
eloquence,,,,,,,,,, positive
eloquent,,,,,,,,,, positive
elucidate,,,,,,,, trust,, positive
elusive,,,,,,, surprise,, negative,
emaciated,,,, fear,, sadness,,, negative,
emancipation,, anticip,,, joy,,,,, positive
embargo,,,,,,,,, negative,
embarrass,,,,,, sadness,,, negative,
embarrassing,,,,,,,,, negative,
embarrassment,,,, fear,, sadness, surprise,, negative,
embezzlement,,,,,,,,, negative,
embolism,,,, fear,, sadness,,, negative,
embrace,, anticip,,, joy,, surprise, trust,, positive
embroiled,,,,,,,,, negative,
emergency,,,, fear,, sadness, surprise,, negative,
emeritus,,,,,,,,,, positive
eminence,,,,,,,, trust,, positive
eminent,,,,,,,,,, positive
eminently,,,,,,,,,, positive
emir,,,,,,,,,, positive
empathy,,,,,,,,,, positive
emphasize,,,,,,,, trust,,
employ,,,,,,,, trust,,
empower,,,,,,,,,, positive
emptiness,,,,,, sadness,,,,
emulate,,,,,,,,,, positive
enable,,,,,,,, trust,, positive
enablement,,,,,,,, trust,, positive
enchant,, anticip,,, joy,, surprise,,, positive
enchanted,,,,, joy,,, trust,, positive
enchanting,, anticip,,, joy,,,,, positive
enclave,,,,,,,,, negative,
encore,,,,,,,,,, positive
encourage,,,,, joy,,, trust,, positive
encouragement,,,,,,,,,, positive
encroachment,,,, fear,,,,, negative,
encumbrance, anger,,, fear,, sadness,,, negative,
encyclopedia,,,,,,,, trust,, positive
endanger,, anticip,, fear,,,,, negative,
endangered,,,, fear,,,,, negative,
endeavor,, anticip,,,,,,,, positive
endemic,,, disgust, fear,, sadness,,, negative,
endless, anger,,, fear, joy, sadness,, trust, negative, positive
endocarditis,,,, fear,, sadness,,,,
endow,,,,,,,, trust,, positive
endowed,,,,,,,,,, positive
endowment,,,,,,,, trust,, positive
endurance,,,,,,,,,, positive
endure,,,,,,,,,, positive
enema,,, disgust,,,,,,,
enemy, anger,, disgust, fear,,,,, negative,
energetic,,,,,,,,,, positive
enforce, anger,,, fear,,,,, negative, positive
enforcement,,,,,,,,, negative,
engaged,, anticip,,, joy,,, trust,, positive
engaging,,,,, joy,,, trust,, positive
engulf,, anticip,,,,,,,,
enhance,,,,,,,,,, positive
enigmatic,,,, fear,,,,, negative,
enjoy,, anticip,,, joy,,, trust,, positive
enjoying,, anticip,,, joy,,, trust,, positive
enlighten,,,,, joy,,, trust,, positive
enlightenment,,,,, joy,,, trust,, positive
enliven,,,,, joy,, surprise, trust,, positive
enmity, anger,,, fear,, sadness,,, negative,
enrich,,,,,,,,,, positive
enroll,, anticip,,,,,, trust,,
ensemble,,,,,,,, trust,, positive
ensign,,,,,,,,,, positive
enslave,,,,,,,,, negative,
enslaved, anger,, disgust, fear,, sadness,,, negative,
enslavement,,,,,,,,, negative,
entangled, anger,, disgust, fear,, sadness,,, negative,
entanglement,,,,,,,,, negative,
enterprising,,,,,,,,,, positive
entertain,,,,, joy,,,,, positive
entertained,,,,, joy,,,,, positive
entertaining,, anticip,,, joy,,,,, positive
entertainment,, anticip,,, joy,, surprise, trust,, positive
enthusiasm,, anticip,,, joy,, surprise,,, positive
enthusiast,, anticip,,, joy,, surprise,,, positive
entrails,,, disgust,,,,,, negative,
entrust,,,,,,,, trust,,
envious,,,,,,,,, negative,
environ,,,,,,,,,, positive
ephemeris,,,,,,,,,, positive
epic,,,,,,,,,, positive
epidemic, anger, anticip, disgust, fear,, sadness, surprise,, negative,
epilepsy,,,,,,,,, negative,
episcopal,,,,,,,, trust,,
epitaph,,,,,, sadness,,,,
epitome,,,,,,,,,, positive
equality,,,,, joy,,, trust,, positive
equally,,,,,,,,,, positive
equilibrium,,,,,,,,,, positive
equity,,,,,,,,,, positive
eradicate, anger,,,,,,,, negative,
eradication, anger,, disgust, fear,,,,, negative,
erase,,,, fear,,,,, negative,
erosion,,,,,,,,, negative,
erotic,, anticip,,, joy,, surprise, trust, negative, positive
err,,,,,,,,, negative,
errand,, anticip,,,,,, trust,, positive
errant,,,,,,,,, negative,
erratic,,,,,,, surprise,, negative,
erratum,,,,,,,,, negative,
erroneous,,,,,,,,, negative,
error,,,,,, sadness,,, negative,
erudite,,,,,,,,,, positive
erupt, anger,,,,,, surprise,, negative,
eruption, anger,,, fear,,, surprise,, negative,
escalate, anger,,,,,,,, negative,
escape,, anticip,, fear,,,,, negative, positive
escaped,,,, fear,,,,,,
eschew, anger,,,,, sadness,,, negative,
escort,,,,,,,, trust,,
espionage,,,,,,,,, negative,
esprit,,,,,,,,,, positive
essential,,,,,,,,,, positive
establish,,,,,,,, trust,,
established,,,,, joy,,,,, positive
esteem,,,,, joy, sadness,, trust,, positive
esthetic,,,,,,,,,, positive
estranged,,,,,,,,, negative,
ethereal,,,, fear,,,,,,
ethical,,,,,,,,,, positive
ethics,,,,,,,,,, positive
euthanasia,,,, fear,, sadness,,, negative,
evacuate,,,, fear,,,,, negative,
evacuation,,,,,,,,, negative,
evade, anger,, disgust, fear,,,,, negative,
evanescence,,,,,, sadness, surprise,,,
evasion,,,, fear,, sadness,,, negative,
eventual,, anticip,,,,,,,,
eventuality,, anticip,, fear,,,,,,
evergreen,,,,, joy,,, trust,, positive
everlasting,,,,,,,,,, positive
evict,,,,,, sadness,,, negative,
eviction, anger,, disgust, fear,, sadness,,, negative,
evident,,,,,,,, trust,, positive
evil, anger,, disgust, fear,, sadness,,, negative,
evolution,,,,,,,,,, positive
exacerbate,,,,,,,,, negative,
exacerbation, anger,,, fear,,,,, negative,
exacting,,,,,,,,, negative,
exaggerate, anger,,,,,,,, negative,
exaggerated,,,,,,,,, negative,
exalt,, anticip,,, joy,,, trust,, positive
exaltation,,,,, joy,,, trust,, positive
exalted,,,,, joy,,, trust,, positive
examination,,,, fear,,, surprise,, negative,
exasperation, anger,, disgust,,,,,, negative,
excavation,, anticip,,,,, surprise,, negative,
exceed,, anticip,,, joy,,,,, positive
excel,, anticip,,, joy,, surprise, trust,, positive
excellence,,, disgust,, joy,,, trust,, positive
excellent,,,,, joy,,, trust,, positive
excess,,,,,,,,, negative,
exchange,,,,,,,, trust,, positive
excise,,,,,,,,, negative,
excitable,,,,,,,,,, positive
excitation, anger, anticip,, fear, joy,, surprise,,, positive
excite, anger, anticip,, fear, joy,, surprise,,, positive
excited,, anticip,,, joy,, surprise, trust,, positive
excitement,, anticip,,, joy,, surprise,,, positive
exciting,, anticip,,, joy,, surprise,,, positive
exclaim,,,,,,, surprise,,,
excluded,,, disgust,,, sadness,,, negative,
excluding,,,,,, sadness,,, negative,
exclusion,,, disgust, fear,, sadness,,, negative,
excrement,,, disgust,,,,,, negative,
excretion,,, disgust,,,,,,,
excruciating,,,, fear,,,,, negative,
excuse,,,,,,,,, negative,
execution, anger,,, fear,, sadness,, trust, negative,
executioner, anger,,, fear,, sadness,,, negative,
executor,,,,,,,, trust,,
exemplary,,,,,,,,,, positive
exemption,,,,,,,,,, positive
exhaust,,,,,,,,, negative,
exhausted,,,,,, sadness,,, negative,
exhaustion,, anticip,,,, sadness,,, negative,
exhaustive,,,,,,,, trust,,
exhilaration,,,,, joy,, surprise,,, positive
exhort,,,,,,,,,, positive
exhortation,,,,,,,,,, positive
exigent,, anticip, disgust, fear,,, surprise,, negative,
exile, anger,,, fear,, sadness,,, negative,
existence,,,,,,,,,, positive
exorcism,,,, fear,, sadness,,, negative,
exotic,,,,,,,,,, positive
expatriate,,,,,,,,, negative,
expect,, anticip,,,,, surprise, trust,, positive
expectancy,, anticip,,,,,,,,
expectant,, anticip,,,,,,,,
expectation,, anticip,,,,,,,, positive
expected,, anticip,,,,,,,,
expecting,, anticip,,,,,,,,
expedient,,,,, joy,,, trust,, positive
expedition,, anticip,,,,,,,, positive
expel, anger,, disgust, fear,, sadness,,, negative,
expenditure,,,,,,,,, negative,
expenses,,,,,,,,, negative,
experienced,,,,,,,, trust,, positive
experiment,, anticip,,,,, surprise,,,
expert,,,,,,,, trust,, positive
expertise,,,,,,,, trust,, positive
expire,,,,,, sadness,,, negative,
expired,,,,,,,,, negative,
explain,,,,,,,, trust,, positive
explode, anger,,, fear,, sadness, surprise,, negative,
explore,, anticip,,,,,,,,
explosion,,,, fear,,, surprise,, negative,
explosive, anger, anticip,, fear,,, surprise,, negative,
expose,, anticip,, fear,,,,,,
exposed,,,,,,,,, negative,
expropriation,,,,,,,,, negative,
expulsion, anger,, disgust, fear,, sadness,,, negative,
exquisite,,,,, joy,,,,, positive
exquisitely,,,,,,,,,, positive
extend,,,,,,,,,, positive
extensive,,,,,,,,,, positive
exterminate,,,, fear,, sadness,,, negative,
extermination, anger,,, fear,,,,, negative,
extinct,,,,,, sadness,,, negative,
extinguish, anger,,,,,,,, negative,
extra,,,,,,,,,, positive
extrajudicial,,,, fear,,,,, negative,
extraordinary,,,,,,,,,, positive
extremity,,,,,,,,, negative,
extricate,, anticip,,,,,,,, positive
exuberance,,,,, joy,,,,, positive
eyewitness,,,,,,,, trust,,
fabricate,,,,,,,,, negative,
fabrication,,,,,,,, trust, negative,
facilitate,,,,,,,,,, positive
fact,,,,,,,, trust,,
facts,,,,,,,, trust,, positive
faculty,,,,,,,, trust,, positive
fade,,,,,,,,, negative,
faeces,,, disgust,,,,,, negative,
failing, anger, anticip,, fear,, sadness,,, negative,
failure,,, disgust, fear,, sadness,,, negative,
fain,, anticip,,, joy,,, trust,, positive
fainting,,,, fear,, sadness, surprise,, negative,
fair,,,,,,,,,, positive
fairly,,,,,,,, trust,, positive
faith,, anticip,,, joy,,, trust,, positive
faithful,,,,,,,, trust,, positive
faithless,,,,,, sadness,,, negative,
fake,,,,,,,,, negative,
fall,,,,,, sadness,,, negative,
fallacious, anger,,,,,,,, negative,
fallacy,,,,,,,,, negative,
fallible,,,,,,,,, negative,
falling,,,,,, sadness,,, negative,
fallow,,,,,,,,, negative,
falsehood, anger,,,,,,, trust, negative,
falsely,,,,,,,,, negative,
falsification, anger,,,,,,,, negative,
falsify,,, disgust,,,,,, negative,
falsity,,, disgust,,,,,, negative,
falter,,,, fear,,,,, negative,
fame,,,,,,,,,, positive
familiar,,,,,,,, trust,, positive
familiarity,, anticip,,, joy,,, trust,, positive
famine,,,,,, sadness,,, negative,
famous,,,,,,,,,, positive
famously,,,,,,,,,, positive
fanatic,,,,,,,,, negative,
fanaticism,,,, fear,,,,,,
fancy,, anticip,,, joy,,,,, positive
fanfare,, anticip,,, joy,, surprise,,, positive
fang,,,, fear,,,,,,
fangs,,,, fear,,,,,,
farce,,,,,,,,, negative,
farcical,,, disgust,,,,,, negative,
farm,, anticip,,,,,,,,
fascinating,,,,,,,,,, positive
fascination,,,,,,,,,, positive
fashionable,,,,,,,,,, positive
fasting,,,,,, sadness,,, negative,
fat,,, disgust,,, sadness,,, negative,
fatal, anger,,, fear,, sadness,,, negative,
fatality,,,, fear,, sadness,,, negative,
fate,, anticip,,,,,,, negative,
father,,,,,,,, trust,,
fathom,,,,,,,,,,
fatigue,,,,,,,,, negative,
fatigued,,,,,, sadness,,, negative,
fatty,,, disgust,,, sadness,,, negative,
fault,,,,,, sadness,,, negative,
faultless,,,,,,,, trust,, positive
faulty,,,,,,,,, negative,
favorable,, anticip,,, joy,, surprise, trust,, positive
favorite,,,,, joy,,, trust,, positive
favoritism,,,,,,,,,, positive
fawn,,,,,,,,, negative,
fear, anger,,, fear,,,,, negative,
fearful,,,, fear,, sadness,,, negative,
fearfully,,,, fear,, sadness, surprise,, negative,
fearing,,,, fear,,,,, negative,
fearless,,,, fear,,,,,, positive
feat,, anticip,,, joy,, surprise,,, positive
feature,,,,,,,,,, positive
febrile,,,,,,,,, negative,
fecal,,, disgust,,,,,, negative,
feces,,, disgust,,,,,, negative,
fee, anger,,,,,,,, negative,
feeble,,,,,, sadness,,, negative,
feeling, anger, anticip, disgust, fear, joy, sadness, surprise, trust, negative, positive
feigned,,,,,,,,, negative,
felicity,,,,, joy,,,,, positive
fell,,,,,, sadness,,, negative,
fellow,,,,,,,, trust,, positive
fellowship,,,,,,,,,, positive
felon,,,, fear,,,,, negative,
felony,,,,,,,,, negative,
female,,,,,,,,,, positive
fenced, anger,,,,,,,,,
fender,,,,,,,, trust,,
ferment,, anticip,,,,,,, negative,
fermentation,, anticip,,,,,,,,
ferocious, anger,, disgust, fear,,,,, negative,
ferocity, anger,,,,,,,, negative,
fertile,,,,,,,,,, positive
fervor, anger,,,, joy,,,,, positive
festival,, anticip,,, joy,, surprise,,, positive
festive,,,,, joy,,,,, positive
fete,, anticip,,, joy,, surprise,,, positive
feud, anger,,,,,,,, negative,
feudal,,,,,,,,, negative,
feudalism, anger,,,,, sadness,,, negative,
fever,,,, fear,,,,,,
feverish,,,,,,,,, negative,
fiasco,,,,,,,,, negative,
fib, anger,,,,,,,, negative,
fickle,,,,,,,,, negative,
fictitious,,,,,,,,, negative,
fidelity,,,,, joy,,, trust,, positive
fiend, anger,, disgust, fear,,,,, negative,
